Name	Reads	Merged	Trimmed	Hiqual
S01	177073	110772	49124	29749
S02	60684	41383	40585	40048
S03	107280	76148	62146	58501
S04	99413	67322	64964	63873
S05	107578	76509	51746	44764
S06	147089	103248	60985	48472
S07	175575	128214	53072	33529
S08	119837	87669	50882	27839
S09	157622	111431	51867	36549
S10	121913	86527	46637	25780
S11	113020	79310	67357	62818
S12	125286	87707	69463	62804
S13	170665	111774	81749	70809
S14	73165	49383	41598	39077
S15	144939	93176	45080	28972
S16	100716	68937	50936	46698
S17	106511	74359	54945	49814
S18	119465	78249	77556	77088
S19	117393	79384	78436	77863
S20	77557	51586	50409	49764
S21	121885	81039	64929	60794
S22	75833	50515	48402	46175
S23	139114	93084	92727	92074
S24	161428	105452	68478	57746
S25	115135	76385	76102	75677
S26	51316	35186	31730	30953
S27	92967	62348	60736	59939
S28	89178	61148	47760	43367
S29	82702	55438	52479	51566
S30	103991	68495	53666	49124
S31	102601	70754	53328	47280
S32	69234	47999	37940	33924
S33	121627	83760	46529	29860
S34	87883	60177	46195	40325
S35	63230	41833	40527	39710
S36	149304	98857	64765	46811
S37	194751	131033	85915	70443
S38	108647	68854	32616	21466
S39	114376	71485	67104	65562
S40	144645	98912	69451	58783
S41	142652	89338	88994	88243
S42	134023	84895	80521	79242
S43	189000	118851	94016	86845
S44	97086	61669	52870	50575
S45	1467	122	85	67
S46	82959	57295	53491	52587
