Name	Reads	Merged	Trimmed	Hiqual
IMM109	20098	18219	18156	15028
IMM11	19593	17488	17415	14140
IMM2	28570	25314	25186	21110
IMM26	23288	19817	19709	16083
IMM27	20285	17870	17794	13648
IMM31	26254	22835	22737	15159
IMM35	54941	48565	48331	36828
IMM40	23461	20908	20774	16767
IMM41	21447	15361	15227	11153
IMM48	22966	20943	20834	17418
IMM5	23539	21234	21135	17217
IMM51	20189	18124	18052	14813
IMM6	18810	17048	16978	13736
IMM68	95431	85406	85063	72228
IMM73	32021	28327	28212	22782
IMM8	8775	7674	7627	6229
IMM82	17972	16150	16075	13243
IMM108	18041	16322	16257	13302
IMM10	39164	33952	33771	29646
IMM13	18301	16215	16150	12978
IMM22	17098	15338	15281	12405
IMM39	23665	21035	20933	15740
IMM59	18238	16354	16270	13431
IMM60	53065	46937	46676	39979
IMM61	28640	25639	25532	20458
IMM70	25870	22166	22067	14826
IMM9	18007	16327	16253	13478
